S#,Country,Daily Oil Consumption (Barrels),World Share,Yearly Gallons Per Capita,Price Per Gallon (USD),GDP Per Capita ( USD ),Gallons GDP Per Capita Can Buy,xTimes Yearly Gallons Per Capita Buy
164,Seychelles,7299,0,1169.1,6.9,10764,1560,1
165,Burundi,1499,0,2.2,5.09,274,54,24
166,British Virgin Islands,1240,0,647.6,3.6,34246,9513,15
167,Cayman Islands,4401,0,1078.3,6.27,85083,13570,13
168,Bhutan,3001,0,62.4,4.46,3122,700,11
169,Comoros,1300,0,25,5.15,1403,272,11
170,Vanuatu,1100,0,60.6,4.92,2783,566,9
171,Saint Helena,70,0,180.2,5.53,7800,1410,8
172,Kiribati,400,0,54.5,4.09,1671,409,7
173,Grenada,2000,0,278.1,4.62,9262,2005,7
174,Gambia,3800,0,27.1,5.04,787,156,6
175,Central African Republic,2800,0,9.5,9.06,477,53,6
176,Dominica,1301,0,279.7,4.78,7268,1521,5
177,Belize,4001,0,166.5,6.68,4436,664,4
178,Niue,51,0,484.4,11.43,15586,1364,3
179,Saint Pierre & Miquelon,660,0,1705.1,8.27,34900,4220,2
180,Montserrat,400,0,1231.1,4.57,12589,2755,2
181,Tonga,899,0,136.3,16.2,4903,303,2
